DATAFLOW,COLLECTION,REF_AREA,FREQ,SURVEY,MEASURE,SEX,TIME_PERIOD,OBS_VALUE,S3,T3,T12,I13,R1,S4,T33,S8,T5,S14,S7,I11,T2,S5,OBS_STATUS,UNIT_MEASURE_TYPE,UNIT_MEASURE,UNIT_MULT,FREE_TEXT_NOTE,DECIMALS,SOURCE,INDICATOR
ILO:DF_YI_ALL_EMP_PTER_SEX_RT(1.0),YI,CAN,A,147,EMP_PTER_RT,SEX_M,2017,32.45,,,,,3513.0,,,,,,,,,,,RT,PT,0,,1,BA,EMP_PTER_SEX_RT
ILO:DF_YI_ALL_EMP_PTER_SEX_RT(1.0),YI,CAN,A,147,EMP_PTER_RT,SEX_M,2018,29.84,,,,,3513.0,,,,,,,,,,,RT,PT,0,,1,BA,EMP_PTER_SEX_RT
ILO:DF_YI_ALL_EMP_PTER_SEX_RT(1.0),YI,LUX,A,2261,EMP_PTER_RT,SEX_M,1983,8.44,,,145.0,,2384.0,,,,,,,,,,,RT,PT,0,,1,BA,EMP_PTER_SEX_RT
ILO:DF_YI_ALL_EMP_PTER_SEX_RT(1.0),YI,LUX,A,2261,EMP_PTER_RT,SEX_M,1984,8.72,,,145.0,,2384.0,,,,,,,,,,,RT,PT,0,,1,BA,EMP_PTER_SEX_RT
ILO:DF_YI_ALL_EMP_PTER_SEX_RT(1.0),YI,LUX,A,2261,EMP_PTER_RT,SEX_M,1985,8.08,,,145.0,,2384.0,,,,,,,,,,,RT,PT,0,,1,BA,EMP_PTER_SEX_RT
ILO:DF_YI_ALL_EMP_PTER_SEX_RT(1.0),YI,LUX,A,2261,EMP_PTER_RT,SEX_M,1986,7.84,,,145.0,,2384.0,,,,,,,,,,,RT,PT,0,,1,BA,EMP_PTER_SEX_RT
ILO:DF_YI_ALL_EMP_PTER_SEX_RT(1.0),YI,LUX,A,2261,EMP_PTER_RT,SEX_M,1987,8.42,,,145.0,,2384.0,,,,,,,,,,,RT,PT,0,,1,BA,EMP_PTER_SEX_RT
ILO:DF_YI_ALL_EMP_PTER_SEX_RT(1.0),YI,LUX,A,2261,EMP_PTER_RT,SEX_M,1988,6.28,,,145.0,,2384.0,,,,,,,,,,,RT,PT,0,,1,BA,EMP_PTER_SEX_RT
ILO:DF_YI_ALL_EMP_PTER_SEX_RT(1.0),YI,LUX,A,2261,EMP_PTER_RT,SEX_M,1989,7.74,,,145.0,,2384.0,,,,,,,,,,,RT,PT,0,,1,BA,EMP_PTER_SEX_RT
ILO:DF_YI_ALL_EMP_PTER_SEX_RT(1.0),YI,LUX,A,2261,EMP_PTER_RT,SEX_M,1990,7.68,,,145.0,,2384.0,,,,,,,,,,,RT,PT,0,,1,BA,EMP_PTER_SEX_RT
ILO:DF_YI_ALL_EMP_PTER_SEX_RT(1.0),YI,LUX,A,2261,EMP_PTER_RT,SEX_M,1991,6.74,,,145.0,,2384.0,,,,,,,,,,,RT,PT,0,,1,BA,EMP_PTER_SEX_RT
ILO:DF_YI_ALL_EMP_PTER_SEX_RT(1.0),YI,LUX,A,2261,EMP_PTER_RT,SEX_M,1992,8.86,,,145.0,,2384.0,,,,,,,,,,,RT,PT,0,,1,BA,EMP_PTER_SEX_RT
ILO:DF_YI_ALL_EMP_PTER_SEX_RT(1.0),YI,LUX,A,2261,EMP_PTER_RT,SEX_M,1993,7.96,,,145.0,,2384.0,,,,,,,,,,,RT,PT,0,,1,BA,EMP_PTER_SEX_RT
ILO:DF_YI_ALL_EMP_PTER_SEX_RT(1.0),YI,LUX,A,2261,EMP_PTER_RT,SEX_M,1994,8.32,,,145.0,,2384.0,,,,,,,,,,,RT,PT,0,,1,BA,EMP_PTER_SEX_RT
ILO:DF_YI_ALL_EMP_PTER_SEX_RT(1.0),YI,LUX,A,2261,EMP_PTER_RT,SEX_M,1995,7.62,,,145.0,,2384.0,,,,,,,,,,,RT,PT,0,,1,BA,EMP_PTER_SEX_RT
ILO:DF_YI_ALL_EMP_PTER_SEX_RT(1.0),YI,LUX,A,2261,EMP_PTER_RT,SEX_M,1996,8.53,,,145.0,,2384.0,,,,,,,,,,,RT,PT,0,,1,BA,EMP_PTER_SEX_RT
ILO:DF_YI_ALL_EMP_PTER_SEX_RT(1.0),YI,LUX,A,2261,EMP_PTER_RT,SEX_M,1997,7.17,,,145.0,,2384.0,,,,,,,,,,,RT,PT,0,,1,BA,EMP_PTER_SEX_RT
ILO:DF_YI_ALL_EMP_PTER_SEX_RT(1.0),YI,LUX,A,2261,EMP_PTER_RT,SEX_M,1998,7.36,,,145.0,,2384.0,,,,,,,,,,,RT,PT,0,,1,BA,EMP_PTER_SEX_RT
