DATAFLOW,COLLECTION,REF_AREA,FREQ,SURVEY,MEASURE,SEX,STE,TIME_PERIOD,OBS_VALUE,S3,T3,I13,S4,R1,T5,S14,C2,I11,S7,T2,S5,OBS_STATUS,UNIT_MEASURE_TYPE,UNIT_MEASURE,UNIT_MULT,FREE_TEXT_NOTE,DECIMALS,SOURCE,INDICATOR
ILO:DF_YI_LAO_EMP_TEMP_SEX_STE_DT(1.0),YI,LAO,A,6651,EMP_TEMP_DT,SEX_F,STE_AGGREGATE_X,2017,0.85,,,,,3513,,4077,,,,,,,DT,PT,0,,1,BA,EMP_TEMP_SEX_STE_DT
ILO:DF_YI_LAO_EMP_TEMP_SEX_STE_DT(1.0),YI,LAO,A,1338,EMP_TEMP_DT,SEX_T,STE_ICSE93_1,1995,9.66,14,,,,,,,,,,81,,,DT,PT,0,,1,AA,EMP_TEMP_SEX_STE_DT
ILO:DF_YI_LAO_EMP_TEMP_SEX_STE_DT(1.0),YI,LAO,A,1338,EMP_TEMP_DT,SEX_T,STE_ICSE93_1,2005,11.72,14,,,,,,,,,,81,,,DT,PT,0,,1,AA,EMP_TEMP_SEX_STE_DT
ILO:DF_YI_LAO_EMP_TEMP_SEX_STE_DT(1.0),YI,LAO,A,1338,EMP_TEMP_DT,SEX_T,STE_ICSE93_5,1995,33.47,14,,,,,,,,,,81,,,DT,PT,0,,1,AA,EMP_TEMP_SEX_STE_DT
ILO:DF_YI_LAO_EMP_TEMP_SEX_STE_DT(1.0),YI,LAO,A,1338,EMP_TEMP_DT,SEX_T,STE_ICSE93_5,2005,46.03,14,,,,,,,,,,81,,,DT,PT,0,,1,AA,EMP_TEMP_SEX_STE_DT
ILO:DF_YI_LAO_EMP_TEMP_SEX_STE_DT(1.0),YI,LAO,A,1338,EMP_TEMP_DT,SEX_M,STE_ICSE93_TOTAL,1995,100,14,,,,,,,,,,81,,,DT,PT,0,,1,AA,EMP_TEMP_SEX_STE_DT
ILO:DF_YI_LAO_EMP_TEMP_SEX_STE_DT(1.0),YI,LAO,A,1338,EMP_TEMP_DT,SEX_M,STE_ICSE93_TOTAL,2005,100,14,,,,,,,,,,81,,,DT,PT,0,,1,AA,EMP_TEMP_SEX_STE_DT
ILO:DF_YI_LAO_EMP_TEMP_SEX_STE_DT(1.0),YI,LAO,A,1338,EMP_TEMP_DT,SEX_F,STE_ICSE93_TOTAL,1995,100,14,,,,,,,,,,81,,,DT,PT,0,,1,AA,EMP_TEMP_SEX_STE_DT
ILO:DF_YI_LAO_EMP_TEMP_SEX_STE_DT(1.0),YI,LAO,A,1338,EMP_TEMP_DT,SEX_F,STE_ICSE93_TOTAL,2005,100,14,,,,,,,,,,81,,,DT,PT,0,,1,AA,EMP_TEMP_SEX_STE_DT
ILO:DF_YI_LAO_EMP_TEMP_SEX_STE_DT(1.0),YI,LAO,A,1338,EMP_TEMP_DT,SEX_F,STE_ICSE93_3,1995,56.96,14,,,,,,,,,,81,,,DT,PT,0,,1,AA,EMP_TEMP_SEX_STE_DT
